# source: 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」巻末資料 職業性ストレス簡易調査票(57項目) (docs/evidence/manual_main.pdf p.192-193) / 逆転項目と尺度定義は「数値基準に基づいて『高ストレス者』を選定する方法」(docs/evidence/select_num.pdf p.2-3,5) / license: 公共データ利用規約(第1.0版) PDL1.0 (CC BY 4.0 互換) 出典: 厚生労働省 https://stresscheck.mhlw.go.jp/ ・上記PDFから書き起こして加工
# columns: item_no=1-origin 通し番号 / domain=A|B|C|D / domain_item_no=領域内番号 / scale=素点換算表の尺度 / context=C領域の共通設問文 / text=設問全文 / choices=選択肢(1|2|3|4の順) / reverse=1なら1<->4,2<->3に逆転 / scored=0なら高ストレス判定に使わない(満足度)
item_no,domain,domain_item_no,scale,context,text,choices,reverse,scored
1,A,1,心理的な仕事の負担（量）,,非常にたくさんの仕事をしなければならない,そうだ|まあそうだ|ややちがう|ちがう,1,1
2,A,2,心理的な仕事の負担（量）,,時間内に仕事が処理しきれない,そうだ|まあそうだ|ややちがう|ちがう,1,1
3,A,3,心理的な仕事の負担（量）,,一生懸命働かなければならない,そうだ|まあそうだ|ややちがう|ちがう,1,1
4,A,4,心理的な仕事の負担（質）,,かなり注意を集中する必要がある,そうだ|まあそうだ|ややちがう|ちがう,1,1
5,A,5,心理的な仕事の負担（質）,,高度の知識や技術が必要なむずかしい仕事だ,そうだ|まあそうだ|ややちがう|ちがう,1,1
6,A,6,心理的な仕事の負担（質）,,勤務時間中はいつも仕事のことを考えていなければならない,そうだ|まあそうだ|ややちがう|ちがう,1,1
7,A,7,自覚的な身体的負担度,,からだを大変よく使う仕事だ,そうだ|まあそうだ|ややちがう|ちがう,1,1
8,A,8,仕事のコントロール度,,自分のペースで仕事ができる,そうだ|まあそうだ|ややちがう|ちがう,0,1
9,A,9,仕事のコントロール度,,自分で仕事の順番・やり方を決めることができる,そうだ|まあそうだ|ややちがう|ちがう,0,1
10,A,10,仕事のコントロール度,,職場の仕事の方針に自分の意見を反映できる,そうだ|まあそうだ|ややちがう|ちがう,0,1
11,A,11,技能の活用度,,自分の技能や知識を仕事で使うことが少ない,そうだ|まあそうだ|ややちがう|ちがう,1,1
12,A,12,職場の対人関係でのストレス,,私の部署内で意見のくい違いがある,そうだ|まあそうだ|ややちがう|ちがう,1,1
13,A,13,職場の対人関係でのストレス,,私の部署と他の部署とはうまが合わない,そうだ|まあそうだ|ややちがう|ちがう,1,1
14,A,14,職場の対人関係でのストレス,,私の職場の雰囲気は友好的である,そうだ|まあそうだ|ややちがう|ちがう,0,1
15,A,15,職場環境によるストレス,,私の職場の作業環境（騒音、照明、温度、換気など）はよくない,そうだ|まあそうだ|ややちがう|ちがう,1,1
16,A,16,仕事の適性度,,仕事の内容は自分にあっている,そうだ|まあそうだ|ややちがう|ちがう,0,1
17,A,17,働きがい,,働きがいのある仕事だ,そうだ|まあそうだ|ややちがう|ちがう,0,1
18,B,1,活気,,活気がわいてくる,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,1,1
19,B,2,活気,,元気がいっぱいだ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,1,1
20,B,3,活気,,生き生きする,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,1,1
21,B,4,イライラ感,,怒りを感じる,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
22,B,5,イライラ感,,内心腹立たしい,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
23,B,6,イライラ感,,イライラしている,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
24,B,7,疲労感,,ひどく疲れた,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
25,B,8,疲労感,,へとへとだ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
26,B,9,疲労感,,だるい,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
27,B,10,不安感,,気がはりつめている,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
28,B,11,不安感,,不安だ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
